,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,hashtag,Users
104,2022-09-28 20:51:35+00:00,https://twitter.com/AmarachiPeace20/status/1575226736869941248,AmarachiPeace20,Twitter for Android,,"#enugutechsummit 
#enugutechsummit2022 

I was there,
and I know the impact will be generational  
What a move !!! https://t.co/1eioerVINP",0,0,0,0,@,@AmarachiPeace20
105,2022-09-28 20:49:03+00:00,https://twitter.com/OgubuikeAlex/status/1575226102943199232,OgubuikeAlex,Twitter for iPhone,planetEarth,"The way Nigerian youth are taking tech is so impressive.
People came from far and wide
Today was beyond anything I ever expected or imagined
#TxESummitEnugu",16,0,0,0,@,@OgubuikeAlex
106,2022-09-28 20:47:24+00:00,https://twitter.com/healthywealthi/status/1575225686221996033,healthywealthi,Twitter for Android,"Ebonyi, Nigeria ",And today I had the privilege of seeing @hackSultan at the #TxESummit2022 #TxESummitEnugu . My joy was very obvious to those arround 🥳 https://t.co/0oeTP3eRWx,43,2,0,2,@,@healthywealthi
107,2022-09-28 20:47:02+00:00,https://twitter.com/iamogechim/status/1575225593146195969,iamogechim,Twitter for Android,,"TXE summit Enugu

1st Speaker : Dr Peter Mbah
(CEO pinnacle oil and gas @OfficialPDPNig  Enugu state Governorship flag bearer)

ROLE OF LEADERSHIP IN 
ENTREPRENUERIAL SUCCESS

A Thread 👇
#TxESummitEnugu #TxESummit2022 #TxESummit #TxEsummitEnugu2022 https://t.co/6lnrBIkegY",6,2,0,2,@,@iamogechim
108,2022-09-28 20:43:14+00:00,https://twitter.com/EgbalaJoy/status/1575224637230759936,EgbalaJoy,Twitter for Android,Nigeria,"#TxEsummitEnugu
#TxEsummit2022
Happening Live",1,0,0,0,@,@EgbalaJoy
109,2022-09-28 20:38:59+00:00,https://twitter.com/he_loves_codes/status/1575223566894739457,he_loves_codes,Twitter for Android,"Enugu, Nigeria","#TxEsummitEnugu 
#TxEsummit2022

I really learnt a lot that I believe will guide to reach my goals . https://t.co/ahBHKKVUOj",2,0,0,1,@,@he_loves_codes
110,2022-09-28 20:35:05+00:00,https://twitter.com/kon610cy/status/1575222584681332736,kon610cy,Twitter for Android,Nigeria,#TxESummitEnugu https://t.co/d6Eve0RINk,2,0,0,0,@,@kon610cy
111,2022-09-28 20:32:27+00:00,https://twitter.com/CHIANUG0/status/1575221924761948161,CHIANUG0,Twitter for Android,Nigeria,"I currently can't afford a good laptop. 
God bless everybody that came for this txtsummitenugu.
God bless us
God bless Nigeria.

#TxEsummit2022
#TxEsummitEnugu",1,1,0,0,@,@CHIANUG0
112,2022-09-28 20:31:51+00:00,https://twitter.com/OEmmanuelosita/status/1575221773825880064,OEmmanuelosita,Twitter for Android,,"When you make people King you become a King of Kings - Pastor Okey Eze (MD Tenece) 
Strategic partnerships
#TxESummitEnugu #TxESummit2022 https://t.co/MPoe0JqUrA",0,0,0,0,@,@OEmmanuelosita
113,2022-09-28 20:31:12+00:00,https://twitter.com/preHobs/status/1575221610864594944,preHobs,Twitter for Android,"Nsukka, Nigeria","How my day went😊
I gained a lot in knowledge❤
Thanks to the founders and co-founders of Enugu Tech Summit. 
#TxESummitEnugu 
#TxESummit2022 https://t.co/AlTL8Xcs7q",11,0,0,1,@,@preHobs
